text_id,div_name,heading,segment_text,Zuschreibung der Vorschrift,Philosophische Vorbetrachtung,Datierung der Probenahme,Ort der Probenahme,Art der Erde,Art der Probenahme,Aufteilung der Erde,Fundort der Erde,Imprägnation der Erde,Extraktion,Eindampfen,Bezeichnung des ausgelaugten Salzes,Weiterverarbeitung Erdsalz,Weiterverarbeitung der Mischung von Spiritus und Sal volatile,Sal Volatile extra gewinnen,Extraktion Sal Fixum,Nasser und trockener Weg,Zusammenfügung von zwei Prinzipien,Zusammenfügung der drei Prinzipien,Bezeichnung des Lösungsmittels,Salz mit Gold und Silber zusammenschmelzen,Auflösung von Gold,Beschreibung des Athanors,Erzeugung des Rubinkorns,Bezeichnung des Rubinkorns,Weiterer Syntheseschritt,Zwischenanalyse,Multiplikation,Fermentation,Projection
g1a1,A1 Höchster Schatz und Kleinod der Welt,[Start of Document],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,A1 Höchster Schatz und Kleinod der Welt,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,A.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,"Höchster Schatz und Kleinod der Welt Den gerechten und wahrhaften Lapidem philosophorum
            oder Tincturam universalem, medicinalem et metallurgicam ex regno universalissimo zu
            machen.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,"Vorarbeit oder Praeparatio Salis terrae, seu nitri nostri philosophorum, e terra
            Virginea.","Im Monath May, wenn der Himmel gantz klar, hell
        und rein, auch das Gewitter gantz still, ohne einigen Wind und Regen, auch die Lufft voll
        lieblichen Geruchs ist, daß gleichsam die Luft, wenn mann darein sieht, von feinen lieblichen
        und schwüligen Dämpfen brodent oder rauchet, soll mann morgensfrüh bey Sonnen-Aufgang, auf
        eine schöne Wiese gehen, die eine gute, fette schwartze, viel beßer aber roth oder gelbe
        Bullarische das ist balligte Erden hat, oder die leimigt ist, und sonsten gleichfalls von
        Natur von allerhand wohlriechenden Blumen zu tragen pfleget, darauf soll mann etliche große
        weit und runde Graben machen, und in die Weite und Länge ohngefähr 5 oder 4 Maßruthen breit
        graben laßen, bis an die Knie tief, das Gras und die Wurtzeln aber müßen vorhero alle daraus
        abgesondert werden und kann mann solches mit den Wasen erstlich stück weis mit einem
        Grabscheid ausstechen, hernach die Grube mit anderer Erde und etwas Mist wieder zu füllen,
        oder als denn den Wasen wieder darauf setzen, so giebt die ausgegrabene Erde der Wiese ein
        geringsten kleinen Schaden  Wenn nun die Wurtzeln, und all das Gras gantz oben darvon gethan, soll
        mann etliche Zentner als etwan 20-24 solcher guten Erden ausgraben die nicht steinigt ist, und
        solche auf den Wiesen oder an einen andern Orth nahe dabey fein von einander ausbreiten, damit
        das Gestirn und der Himmel wohl darin würcken können. Diese Erde soll man also 14 Tage und
        Nächte im Wetter liegen laßen. Sollte aber etwan ein Regen einfallen muß die Erde nothwendig
        mit Stroh und grünem Holtz, Holtzreisig, gantz wohl und viel gedeckt werden solange, bis der
        Regen vorbey und sich das Wetter fein hell ausgekläret hatt. Nach verfloßenen 14 Tagen, wenn die Erde von der Luft und dem Himmel wohl durch witttert,
        soll man die erde wegführen laßen, und bis zum Gebrauch in reinen und höltzernen Fäßern oder
        wannen, wie die Salpeter Sieder haben, verwahren NB Die Fäßer müßen
        unten 2 quer Händ hoch mit stell höltzern belegt, und mit Zapflöchern versehen seyn als denn
        auf die Stell höltzer eine quer Hand hoch rein gersten Stroh gelegt, und solches fest auf
        einander gedrückt, denn eine Quantität der gesammlten Erden darauf gelegt, und hart auf
        einander gedrückt, darnach so viel rein kalt Waßer darauf gegoßen, als ohngefähr darzu nöthig
        ist und die Quantität der Erden erfordert, laßet es 24 Stunden darauf stehen, daß es das reine
        Saltz aus der Erden an sich ziehe, darauf laßet es unten durch das Zapfen-Loch fein sachte, in
        ein untergesetztes hölzernes Geschir abtreuflen gleichwie man sonsten gepflegt Laugen zu
        machen, und nachdem solcher Erden Laugen, eine gute Quantität gesammlet und gemacht hat, so
        laßet deroselben eine ziemliche Menge in einen eingemauerten kupfernen Keßel, mehr als über
        die Hälfte 2",N/A,N/A,Mai; klarer Himmel; kein Wind; kein Regen; früh morgens; bei Sonnenaufgang;,schöne Wiese; Wiese mit Blumen;,fette schwarze Erde; rote Erde; gelbe Erde; lehmig; bolarisch;,knietief; ohne Gras; ohne Wurzeln; ohne Steine; 20-24 Zentner;,N/A,N/A,Erde ausbreiten; 14 Tage; Einwirkung von Gestirn und Himmel; bei Regen abdecken;,Holzfass; wie Salpetersieder; Fass mit Stellhölzern; Fass mit Zapflöchern; Stroh auf die Stellhölzer; kaltes Wasser; 24 Stunden stehen lassen;,Kupferkessel; Sieden; Eindampfen bis 50 Prozent; nach Eindampfen wieder Auffüllen; Wiederholung 8-10 Mal; Nach Einsieden stehen lassen; Salz kristallisiert aus; Salz wird gereinigt;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,B.,"einsieden gießet den Keßel wieder voll von solcher Lauge, und laßet es
        abermahl einsieden bis über die Hälfte, solches wiederholet 8,9 oder 10 mahl, eingesotten, und
        so etwan der Keßel noch halb voll ist, gießet die fast eingesotten Laugen, in einen andern
        kupfern Keßel, so in eine frischen Erden eingesetzt ist, und lasset die Laugen also etliche
        Tage unbeweglich stehen so wächset ein saltz im Keßel an, wie ein Vitriol, aber es brennet
        nicht, wie das gemeine Nitrum Daßelbe muß man mit solviren, filtrieren, anschießen und
        coagulieren in einem warmen Waßer, so oftmahls reinigen und läutern, bis es gantz schön,
        durchsichtig, rein und crystallisch wird. Das heist denn hernach, das Sal
            terrae virgineum und Nitrum philosophicum, welches in dem Meer der Welt schwebet, das
        Waßer welches die Hand nicht naß macht, ohne welche nichts in der gantzen welt gebohren, oder
        gezeugt werden kann. Nun
        hat man Gottlob die Materia in Händen, so das hohe Secretum philosophorum in sich heltet.
        Dieses unser Sal naturae oder terrae, ob es wohl dem ansehen nach nur eines zu seyn scheinet,
        so hat es doch 3 unterschiedliche Salia in sich, denn vor sich selbsten ist es erstlich unser philosophisches saltz Nitri naturae et terrae,
        darinnen der Spiritus mundi häuffig stecket, nicht gar flüßig und nicht gar fix, sondern hat
        eine Mittel-Natur; Vor das andern hat es in sich ein Sal armoniacum,
        oder volatile, drittens steckt auch in ihm ein Sal alcali oder Sal fixum, also ist es
        dreyeinnig, und imitiret in diesem Punckt, dem allerhöchsten Schöpfer nach.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sal Terrae Virgineum; Nitrum Philosophicum; Wasser, dass die Hände nicht netzt;",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,Praeparatio.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,Spiritus universalis et Salis volatilis armoniaci e Sale nostro Nitri et Terrae,"Nehmet von dem obigen praeparierten schönen Saltz, oder weisen Erden Saltz 1 lb stoßet es
        klein wie Meel, in einen reinen Glas-Mörser und mischt darunter 2 lb seiner eigenen Erden,
        daraus das Saltz anfänglich heraus gezogen, und die Laugen, gemacht worden ist, so eine todte
        Erde, (dieselbe Erde aber muß [Mariginalie: NB] zuvor, nachdem sie von allen Salz mit dem
        kalten Waßer gäntzlich ausgelauget, in einen Häfners-Ofen; wenn er Töpfe brennt wohl
        ausgeglüet seyn) nochmahls mit Regenwaßer die Mixtur ein wenig befeuchtet, und daraus runde
        Kugeln in der Größe wie Schmiß-Kugeln da die Kinder mit spielen, formirt werden, lasset sie
        alle gemagsam trocknen, als denn 4 Wochen lang bey schönen hellen und fruchtbahr lieblichen
        Wetter, an der Luft auf Bretter fein ordentlich hoch in die Höh gesetzt, so neben her mit
        Leisten beschlagen, damit keine Küglein abfallen können. Die Bretter mit denen Kugeln aber
        müßen unter einem Dache stehen, damit kein Regen darauf fallen kann, so werden die Kugeln von
        der Luft angeschwängert, und sich der Universal Geist noch mehr und mehr auch häuffiger darein
        ziehen kann. Nach verfloßener Zeit einen Theil davon genommen und eine Erde mit luto wohl
        beschlagen Retorte auf die Hälfte damit angefüllt, eine große Vorlage, oder gläsernen starcken
        und reinen Recipienten gantz fest und wohl dafür lutiert, in welchem aber
            vorhero ein Maas rein distilliertes Regenwaßer soll eingethan seyn, damit sie der spiritus
            desto beßer darein fangen möge , als denn, wenn alles wohl trocken worden per Gradus
        feuer [Mariginalie: NB] gegeben 3",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ausgelaugte Erde calcinieren; Erdsalz und calcinierte Erde vermischen; Verhältnis Erdsalz zu Erde 1:2; mit etwas Regenwasser; Kugeln herstellen; Kugeln an Luft imprägnieren lassen; 4 Wochen imprägnieren; Mischung in Retorte geben; Retorte zu 50 Prozent gefüllt; in Vorlage Wasser; 1 Maß Wasser; destilliertes Regenwasser; per Gradus destillieren; Spiritus geht über; Sal volatile geht über; Spiritus und Sal volatile vermischen; vermischter Spiritus und Sal volatile in Gefäß gut verschlossen; Mischung aus Spiritus und Sal volatile kühl lagern;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,C.,"gleich wie mann sonsten gemein Spiritum
        Salis brennet Erstlich etliche Stunden gelind, hernach etwas stärcker zuletzt wann der
        Spiritus alle herüber, mit sehr starken Feuer getrieben, so sublimieret sich ein sehr
        flüchtiges Saltz, theils in die Vorlage, und theils in dem Hals der Retorten, nach geendigter
        distillation, läßet mann die Geschirre erkalten, als denn selbige geöffnet und abgenommen.
        [Mariginalie: NB] Den Spiritum und das Sal volatile gieset mann zusammen, und waschet solches
        rein aus, in einem andern reinen großen Recipienten, und verdahet es wohl miteinander, sehr
        vest verlutiert und zugebunden, in ein kühlen Keller, bis mann deßen mehr über kommt
        aufgehoben. Nun nehmet wieder von den Erdten-Küglein eine gute Quantität, und destillieret es
        auf vorige Weise wie, das erste mahl geschehen, also 3, 4 – 6 mahl, bis der gantze Vorrath
        denen Küglein völlig wie das erste mahl ver distilliert. Alsdenn alle Spiritus und Salia
        volatila zu den ersten aufgehoben, und die geschirre wohl ausgespiehlt, damit die Salia und
        Spiritus sauber heraus kommen, und wohl verlutierter in einem kühlen Keller bis zum Gebrauch
        verwahret. NB NB. Nota mann nimmt zu einer jeden Destillation nicht
        mehr als 1 lb Erden-Saltz, und 3 lb ausgebrannte Erde, wenn die Retorten nicht groß genug ist.
        Die Retorte muß allezeit ledig bleiben bis auf die Hälfte so sie aber gros, so thut mann
        doppelt so viel an Gewicht der Kugeln darin. Auf einen jeden Bret kann mann allmahl eine
        gewiße Abtheilung der Kugeln legen, als zu einen Brand nöthig ist; derowegen gut, daß alles
        Saltz soviel deßen ein Vorrath mit der aus gebrannten Erden, zu Kugeln zu machen und in der
        Luft zu schwängern. Den Spiritum und Sal volatile nehmet, und füllet damit einen starcken Glaß-Kolben auf die
        Helfte an, lutirt einen guten Helm darauf, und ordnet den kolben als denn in ein Balneum
        mariae, separieret per destillationem die Phlegmata davon, hernach setzet den Kolben in eine
        Aschen oder Sand Capellen [Mariginalie: NB] und ziehet den Spiritum auch besonders herüber in
        eine reine Vorlage, so wohl und fest davor lutirt, daß nichts mehr darinnen zurück bleibet,
        als das Sal volatile armoniacum, solchem Sal volatili gebet als dann starckes Feuer, so hübet
        sich daßelbe in die höhe in cineribus vel arena, und steiget auf in dem Helm. Solches
        Sublimiren wiederhole 6 mahl in frischen reinen Kolben-Gläsernen allezeit die Feces aber davon
        gethan, bis das volatilische Salz, schön und weis wie ein Schnee aufgestiegen ist, in den
        Helm, und keine Feces mehr in Fundo des Kolben-Glases zurück bleiben. [Mariginalie: NB.NB]
        Alsdann solche wohlverbunden, mit Wachs-Talg ein und doppelten Blasen in einem starcken Glaß
        verwahret in loco calido, bis mann deßen mehr überkommet; mit denen übrigen Spiritu et Sale
        machet mann es eben also, wie mit den vorigen procedirt. Der Spiritum nehmlich im kühlen
        Keller aufbehalten, das Saltz hingegen an einem warmen Orth. Den zusammen gegoßenen und von
        dem Sale separierten Spiritum rectificirt mann in Cineribus vel arenas 6 mahl per alembicum,
        damit er fein suptil und von allen phlegmate erledigt wird, alsdenn demselben sehr wohl
        verbunden, verdahet in einem großen und starcken Glaß, daß nur die Hälfte damit angefüllt
        seyn, sonsten zersprengen die Spiritus das Glas gar leichtlich, wo sie nicht Raum genug haben,
        und das Glas in loco frigido aufgehoben bis zum Gebrauch. 4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spiritus und Sal volatile in Retorte; Retorte = Glaskolben; Retorte 50 Prozent gefüllt; 1. Retorte in Wasserbad; im Wasserbad Phlegma abtrennen; 2. Retorte in Aschebad oder Sandbad; 2.1. Spiritus abdestillieren; 2.2. Sal Volatile übersublimieren; 3.1. wiederholtes Übersublimieren des Sal Volatile; in Aschebad oder Sandbad; 3.2. wiederholtes Rektifizieren des Spiritus; in Aschebad oder Sandbad; Spiritus kühl lagern; Sal Volatile warm lagern;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
g1a1,A1 Höchster Schatz und Kleinod der Welt,D.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
