text_id,div_name,seg_id,word_count,top_anchors,text_preview
g1a1,A1 Höchster Schatz und Kleinod der Welt,0,135,"erden, gantz, nitri, salis, tinctur, terra, natur, terrae",A1 Höchster Schatz und Kleinod der Welt 1 A Höchster Schatz und Kleinod der Welt Den gerechten und wahrhaften Lapidem philosophorum oder Tincturam universalem medicinalem et metallurgicam ex regno uni...
g1a1,A1 Höchster Schatz und Kleinod der Welt,1,180,"erden, damit, solches, wieder, setze, gantz, diese, solche",mann etliche große weit und runde Graben machen und in die Weite und Länge ohngefähr 5 oder 4 Maßruthen breit graben laßen bis an die Knie tief das Gras und die Wurtzeln aber müßen vorhero alle daraus...
g1a1,A1 Höchster Schatz und Kleinod der Welt,2,45,"tagen, salpeter",das Wetter fein hell ausgekläret hatt Nach verfloßenen 14 Tagen wenn die Erde von der Luft und dem Himmel wohl durch witttert soll man die erde wegführen laßen und bis zum Gebrauch in reinen und höltz...
g1a1,A1 Höchster Schatz und Kleinod der Welt,3,195,"erden, solches, saltz, wieder, solche, andern, ersten, erste",NB Die Fäßer müßen unten 2 quer Händ hoch mit stell höltzern belegt und mit Zapflöchern versehen seyn als denn auf die Stell höltzer eine quer Hand hoch rein gersten Stroh gelegt und solches fest auf ...
g1a1,A1 Höchster Schatz und Kleinod der Welt,4,165,"spiritus, erden, saltz, gantz, diese, hernach, nitri, nichts",Laugen also etliche Tage unbeweglich stehen so wächset ein saltz im Keßel an wie ein Vitriol aber es brennet nicht wie das gemeine Nitrum Daßelbe muß man mit solviren filtrieren anschießen und coaguli...
g1a1,A1 Höchster Schatz und Kleinod der Welt,5,375,"theil, feuer, spiritus, erden, damit, kugel, solches, saltz",andern hat es in sich ein Sal armoniacum oder volatile drittens steckt auch in ihm ein Sal alcali oder Sal fixum also ist es dreyeinnig und imitiret in diesem Punckt dem allerhöchsten Schöpfer nach Pr...
g1a1,A1 Höchster Schatz und Kleinod der Welt,6,30,"wieder, einander, ander, nehmet",reinen großen Recipienten und verdahet es wohl miteinander sehr vest verlutiert und zugebunden in ein kühlen Keller bis mann deßen mehr über kommt aufgehoben Nun nehmet wieder von den Erdten...
g1a1,A1 Höchster Schatz und Kleinod der Welt,7,315,"theil, feuer, spiritus, erden, damit, kugel, solches, saltz",Küglein eine gute Quantität und destillieret es auf vorige Weise wie das erste mahl geschehen also 3 4 6 mahl bis der gantze Vorrath denen Küglein völlig wie das erste mahl ver distilliert Alsdenn all...
g1a1,A1 Höchster Schatz und Kleinod der Welt,8,60,"saltz, spiritum, zusammen, spiritu",Wachs Talg ein und doppelten Blasen in einem starcken Glaß verwahret in loco calido bis mann deßen mehr überkommet mit denen übrigen Spiritu et Sale machet mann es eben also wie mit den vorigen proced...
g1a1,A1 Höchster Schatz und Kleinod der Welt,9,45,"spiritus, damit, spiritu, sonsten, phlegma, leichtlich",in Cineribus vel arenas 6 mahl per alembicum damit er fein suptil und von allen phlegmate erledigt wird alsdenn demselben sehr wohl verbunden verdahet in einem großen und starcken Glaß daß nur die Häl...
